Peak Brightness Date/Time (UT),Latitude,Longitude,Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2011-01-08 19:38:44,33.3,-125.8,48,,,,,29000000000,0.1
2010-12-25 23:24:00,38,158,26,18.1,18,-2,-4,20000000000000,33
2010-12-14 00:27:53,-4.9,175.5,24,,,,,39000000000,0.13
2010-12-09 02:54:07,-54.5,-169.7,66,,,,,63000000000,0.2
2010-12-01 06:31:46,-72.5,144.9,33.3,,,,,133000000000,0.39
2010-11-21 14:45:27,1.9,143.3,50,,,,,81000000000,0.25
2010-11-19 07:25:56,-10.3,148.8,30,,,,,33000000000,0.11
2010-11-10 08:26:35,74.5,-77.7,,,,,,68000000000,0.22
2010-11-09 13:05:46,-56.3,-16.7,37,,,,,86000000000,0.27
2010-11-09 06:56:52,-14,-160,26,,,,,20000000000,0.073
2010-10-27 11:27:39,-14.1,67.7,35.2,,,,,145000000000,0.42
2010-10-08 09:58:01,,,,,,,,20000000000,0.073
2010-09-24 12:02:07,-67.4,-50.6,,,,,,50000000000,0.16
2010-09-18 05:04:41,7.4,36.7,,,,,,67000000000,0.21
2010-09-08 19:51:36,-13.9,-65.5,46.3,,,,,65000000000,0.21
2010-09-05 23:37:33,-25.9,49,35.2,,,,,683000000000,1.7
2010-09-03 12:04:58,-61,146.7,33.3,12.3,9.8,-3.5,6.5,1750000000000,3.8
2010-08-17 04:19:37,20.7,-114.3,33.3,,,,,21000000000,0.076
2010-07-15 01:49:56,60.9,-178.1,,,,,,24000000000,0.086
2010-07-06 23:54:43,-34.1,-174.5,26,15.7,12.1,10,0.2,7560000000000,14
2010-06-26 06:04:38,-0.5,133.2,50,,,,,113000000000,0.34
2010-06-21 06:42:00,-22.5,-120.9,,,,,,163000000000,0.47
2010-06-17 04:24:45,-26.1,100,42,,,,,119000000000,0.35
2010-04-17 02:21:58,13.1,-173,,,,,,56000000000,0.18
2010-04-16 04:38:52,1.8,-176.9,22.2,18.8,12.4,-13.2,-5.2,844000000000,2
2010-04-06 18:33:12,52.8,-146.5,,,,,,80000000000,0.25
2010-03-18 16:11:16,-32.4,-51.8,,,,,,175000000000,0.5
2010-03-15 15:55:43,,,,,,,,80000000000,0.25
2010-03-14 18:44:42,33.8,-90.2,35.6,,,,,42000000000,0.14
2010-03-08 22:44:41,18.2,110.1,53,,,,,30000000000,0.1
2010-03-08 22:02:07,32,-92.9,52,24.5,19.1,11,10.7,323000000000,0.85
2010-02-28 22:24:50,48.7,21,37,15.1,-11.7,2.7,-9.1,153000000000,0.44
2010-02-26 22:46:13,-37.3,-166,,,,,,237000000000,0.65
2010-02-24 19:55:58,-2.6,-102.2,,,,,,93000000000,0.28
2010-01-15 19:17:54,-8.3,27,25,14,-9.1,6,8.8,492000000000,1.2
2009-12-31 16:24:23,,,,,,,,83000000000,0.26
2009-12-31 12:50:25,37.9,-178.3,20.7,,,,,102000000000,0.31
2009-11-25 01:36:20,-52.8,136.5,,,,,,64000000000,0.2
2009-11-21 20:53:00,-22,29.2,38,32.1,3,-17,27,10000000000000,18
2009-11-18 17:36:07,,,,,,,,85000000000,0.26
2009-11-18 07:07:19,40.4,-113.2,31.5,,,,,736000000000,1.8
2009-11-14 19:58:55,,,,,,,,23000000000,0.082
2009-11-07 11:31:59,45.5,-157.7,,,,,,22000000000,0.079
2009-11-07 10:41:38,24,64.1,37,,,,,42000000000,0.14
2009-10-11 12:49:51,-78.3,70.2,27.8,,,,,71000000000,0.22
2009-10-08 02:57:00,-4.2,120.6,19.1,19.2,14,-16,-6,20000000000000,33
2009-09-27 22:22:48,-36,-67.6,37,,,,,89000000000,0.27
2009-09-18 20:13:56,7.7,-29.5,,,,,,144000000000,0.42
2009-09-04 02:23:18,42.5,110,28.3,24,19.2,-11.6,-8.5,965000000000,2.3
2009-08-23 21:17:19,-67.7,18.3,34,12.2,-6.9,5.3,8.5,280000000000,0.75
2009-07-31 02:13:19,8.9,-121.9,,,,,,25000000000,0.089
2009-07-16 06:39:05,-24.4,-59.8,32.2,,,,,727000000000,1.8
2009-07-03 04:02:00,,,,,,,,27000000000,0.095
2009-06-27 13:08:05,-26.6,-12.6,26.1,15.2,-11.6,1.6,9.7,32000000000,0.11
2009-06-20 11:04:41,,,,,,,,27000000000,0.095
2009-06-18 04:39:00,-23.7,-16,57.4,,,,,33000000000,0.11
2009-06-09 22:42:28,54.9,-152.7,34.2,,,,,281000000000,0.76
2009-05-31 06:05:47,19.7,-121,,,,,,143000000000,0.42
2009-05-13 20:20:16,,,,,,,,73000000000,0.23
2009-05-04 11:39:03,36.4,-160.4,40.7,,,,,140000000000,0.41
2009-04-20 04:01:39,6,84.3,,,,,,22000000000,0.079
2009-04-10 18:42:45,-44.7,25.7,32.4,19.1,-18.9,2.6,0.3,270000000000,0.73
2009-03-04 00:38:05,,,,,,,,170000000000,0.48
2009-02-20 12:15:57,-64.9,-70,,,,,,50000000000,0.16
2009-02-07 19:51:32,56.6,69.8,40,15.4,-2.4,-1.9,-15.1,1600000000000,3.5
2009-01-12 22:24:56,47.8,-44.3,,,,,,48000000000,0.16
2009-01-10 07:42:39,-64,122.8,26.5,,,,,23000000000,0.082
2008-12-24 15:51:58,-68.9,-102,21.1,24.1,-13.4,18,8.8,35000000000,0.12
2008-12-12 11:36:36,-7,-9.7,50,,,,,216000000000,0.6
2008-12-09 06:08:16,,,,,,,,34000000000,0.12
2008-11-24 22:01:19,-57.9,146.1,34.8,23.7,21.5,10,0.4,146000000000,0.42
2008-11-21 00:26:44,53.1,-109.9,28.2,12.9,3.9,-4.1,-11.6,142000000000,0.41
2008-11-18 09:41:51,-29.4,75.9,35.2,22.4,-4,-15.2,-16,25000000000,0.089
2008-11-09 02:38:34,14.5,112.7,29.6,,,,,222000000000,0.61
2008-10-21 02:20:25,32.8,-165.6,29.6,11.3,9.6,5.8,1.5,46000000000,0.15
2008-10-10 09:34:18,-57.3,17,21.4,,,,,180000000000,0.51
2008-10-07 02:45:45,20.9,31.4,38.9,13.3,-9,9,3.8,395000000000,1
2008-09-09 09:49:41,,,,,,,,59000000000,0.19
2008-08-16 14:40:24,11.3,97.2,,,,,,131000000000,0.38
2008-08-12 11:44:10,-11.6,-175,,,,,,20000000000,0.073
2008-08-07 06:07:10,18.5,180,45.4,13.8,6.5,-12.1,1.7,41000000000,0.14
2008-07-23 14:45:25,38.6,68,31.5,14.5,-7.7,-8.2,-9.1,121000000000,0.36
2008-07-22 19:34:00,-17.8,-89.2,54.4,,,,,61000000000,0.2
2008-07-11 14:35:28,,,,,,,,52000000000,0.17
2008-07-08 15:55:30,72.8,147.3,52.2,21.7,-12.9,1.9,-17.4,66000000000,0.21
2008-07-01 17:40:19,37.1,-115.7,36.1,9.8,2.8,1.7,-9.2,36000000000,0.12
2008-06-27 02:01:23,-26.9,-17.7,33.7,23.1,-17.9,13,6.6,172000000000,0.49
2008-06-18 13:45:36,6.1,103.1,,,,,,21000000000,0.076
2008-05-29 21:23:56,15.7,-83.5,,,,,,21000000000,0.076
2008-05-24 10:18:10,0.8,162,37,14.2,7.9,3.1,11.4,150000000000,0.43
2008-05-22 20:50:28,46.9,134.5,,,,,,21000000000,0.076
2008-05-06 01:08:56,,,,,,,,57000000000,0.18
2008-04-30 01:18:38,-33.6,-35.1,,,,,,20000000000,0.073
2008-04-06 16:03:34,,,,,,,,77000000000,0.24
2008-03-15 11:29:55,28,-41.5,26.7,12.9,-4.1,4.8,-11.2,50000000000,0.16
2008-02-24 19:33:14,,,,,,,,74000000000,0.23
2008-02-19 13:30:30,48.9,-119.8,,,,,,20000000000,0.073
2008-02-18 08:51:12,,,,,,,,50000000000,0.16
2008-02-17 12:19:16,74.9,-73.4,40.4,13.9,-5.8,-10.7,-6.7,110000000000,0.33
2008-02-16 08:38:39,,,,,,,,71000000000,0.22
2008-01-18 01:17:39,,,,,,,,44000000000,0.15
2008-01-09 03:53:15,-66.8,-67.3,31.5,11.6,4.3,5.7,9.1,41000000000,0.14
2007-12-26 06:46:20,-61.6,-158.9,,,,,,136000000000,0.4
2007-12-20 17:00:48,51.3,115.4,,,,,,122000000000,0.36
2007-10-25 19:35:38,-40.9,91.3,46.3,,,,,58000000000,0.19
2007-10-12 09:14:03,88.5,116.6,37,18.4,-4.5,-14.1,-10.9,33000000000,0.11
2007-10-07 13:31:01,-35.2,125.6,,,,,,58000000000,0.19
2007-09-22 17:57:12,-49.2,-85.5,30.2,16.9,-9.2,13.6,3.8,237000000000,0.65
2007-06-11 09:47:05,-23.4,-170.9,35.2,17,16.7,-2.1,-2.2,49000000000,0.16
2007-06-08 13:32:00,-52,175.3,38.9,,,,,235000000000,0.65
2007-06-07 21:28:12,21.9,53.1,29.6,,,,,31000000000,0.11
2007-05-16 16:20:58,-4.5,111.7,,,,,,38000000000,0.13
2007-05-16 04:45:52,-42.4,164,31.5,,,,,400000000000,1
2007-05-04 17:52:39,22.9,109.4,48,,,,,175000000000,0.5
2007-04-18 12:44:23,-83.7,-171.2,38,24.4,-5.3,-2.5,23.7,112000000000,0.33
2007-04-16 14:56:51,,,,,,,,24000000000,0.086
2007-03-17 06:48:35,7.1,4.1,32.5,14.5,-7.3,-1.9,-12.4,40000000000,0.13
2007-03-15 02:20:15,-44.1,-148.4,,,,,,25000000000,0.089
2007-03-07 15:16:49,,,,,,,,27000000000,0.095
2007-02-02 12:48:41,24,-37.2,35.5,,,,,340000000000,0.89
2007-01-26 22:22:21,3.7,99.7,,,,,,147000000000,0.43
2007-01-22 07:24:56,45.4,53.5,32,13.4,-3.3,-12.8,-1.9,76000000000,0.24
2007-01-18 13:51:10,5.3,-164.3,34.1,,,,,32000000000,0.11
2007-01-17 09:50:46,-8.7,50.8,33.3,,,,,548000000000,1.4
2007-01-01 11:43:29,44.4,116.5,53,,,,,36000000000,0.12
2006-12-09 06:31:12,26.2,26,26.5,15.9,4.9,-15,1.6,7410000000000,14
2006-12-07 11:42:00,14,-140,,,,,,21000000000,0.076
2006-12-01 06:09:25,-13,30.7,,,,,,63000000000,0.2
2006-11-13 15:16:34,-44,43.3,,,,,,23000000000,0.082
2006-10-24 08:42:52,-1.9,-2.7,43,,,,,225000000000,0.62
2006-10-14 18:10:49,49.4,-175,44.4,23.9,4.9,23.4,-1,258000000000,0.7
2006-10-09 04:45:30,-47,78.9,22.2,,,,,41000000000,0.14
2006-10-07 12:18:53,-23,-61.8,40.7,,,,,41000000000,0.14
2006-10-02 19:10:27,14,53.1,42,,,,,90000000000,0.28
2006-09-27 08:33:43,-32,60.2,48.1,,,,,107000000000,0.32
2006-09-23 18:52:58,-29,-108,,,,,,121000000000,0.36
2006-09-02 17:57:58,,,,,,,,22000000000,0.079
2006-09-02 04:26:15,-14,109.1,44.1,14.2,10,-9.9,1.5,1230000000000,2.8
2006-08-29 01:38:36,-44,-162,40.7,,,,,92000000000,0.28
2006-08-18 00:03:18,-43,33.4,47.2,,,,,32000000000,0.11
2006-08-17 10:43:34,-11,165.7,48.2,,,,,256000000000,0.7
2006-08-15 10:52:24,4.9,49.6,32.7,,,,,47000000000,0.16
2006-08-09 04:30:44,-23.1,53.7,37,,,,,1020000000000,2.4
2006-07-15 23:55:45,-78.3,-5,29.6,12.4,0.1,2,12.2,85000000000,0.26
2006-07-15 15:22:49,31.1,45.6,38.9,30.2,9.2,-1.2,-28.7,163000000000,0.47
2006-06-07 00:06:28,69.2,22.5,40.7,19.6,6.1,4.6,-18,59000000000,0.19
2006-05-28 01:32:24,,,,,,,,26000000000,0.092
2006-05-21 07:51:11,-11.6,-25.5,,,,,,263000000000,0.71
2006-05-07 17:45:14,,,,,,,,30000000000,0.1
2006-05-06 15:39:06,-60.2,-152.3,35.2,,,,,128000000000,0.38
2006-04-25 18:46:53,,,,,,,,20000000000,0.073
2006-04-08 13:16:23,17.3,-113.2,33.3,,,,,127000000000,0.37
2006-04-04 11:30:08,26.6,-26.6,25,,,,,2400000000000,5
2006-03-14 03:21:06,7,-64.6,35.2,,,,,144000000000,0.42
2006-02-26 07:30:06,,,,,,,,70000000000,0.22
2006-02-06 01:57:37,-54.5,18.1,35.2,,,,,1190000000000,2.7
2006-02-04 08:38:05,36.9,-143.6,38.9,19.8,-8.8,3.4,-17.4,100000000000,0.3
2006-01-28 03:33:48,-51.7,56.4,37,18.7,8.4,-16.4,3.2,740000000000,1.8
2006-01-27 01:27:42,58.7,74.7,20,,,,,45000000000,0.15
2006-01-26 00:00:53,-79.8,-111,37,,,,,53000000000,0.17
2006-01-10 23:25:28,29.8,-12.7,32.4,16.9,-9.9,-6.3,-12.2,28000000000,0.098
2006-01-08 05:20:19,7.6,-28.2,,,,,,94000000000,0.29
2005-12-29 10:05:35,-3,-154.9,42.2,20.7,18.6,8.5,3.2,190000000000,0.53
2005-12-24 15:30:26,-54,17.3,66,,,,,181000000000,0.51
2005-12-03 12:45:49,-33.8,117.4,32.2,17,-12.1,-9.6,7.2,88000000000,0.27
2005-12-01 10:40:20,-6.4,-155.8,,,,,,32000000000,0.11
2005-11-29 07:33:16,7.6,-58.2,59.3,,,,,32000000000,0.11
2005-11-15 05:19:07,26.3,-113.4,32.4,,,,,25000000000,0.089
2005-11-11 20:34:23,21.4,-134.1,29.6,,,,,42000000000,0.14
2005-11-09 07:33:08,-31,145.9,30.7,13.8,13.5,-2.7,-0.7,73000000000,0.23
2005-11-02 07:04:32,33.9,-154.9,68.5,,,,,32000000000,0.11
2005-11-02 05:16:47,22.9,-123.8,74,,,,,67000000000,0.21
2005-10-26 21:30:47,-36.3,-80.5,16.7,,,,,138000000000,0.4
2005-09-30 19:04:06,-2.8,-84.1,53,,,,,22000000000,0.079
2005-09-14 01:08:52,11.6,27.3,33.3,,,,,25000000000,0.089
2005-09-02 07:59:47,13.5,73.1,,,,,,82000000000,0.25
2005-08-20 12:10:24,,,,,,,,27000000000,0.095
2005-08-09 14:35:45,-21.5,56.2,37,16.9,-16.3,4.3,1.4,25000000000,0.089
2005-07-01 22:36:15,-49.8,33.1,50,,,,,31000000000,0.11
2005-06-18 19:40:41,47.9,85.6,,,,,,23000000000,0.082
2005-06-05 01:56:09,34.8,90.9,,,,,,41000000000,0.14
2005-06-03 08:15:41,-31,-90.3,29.6,26.2,-1.5,25.3,6.7,82000000000,0.25
2005-05-27 14:12:13,-48.9,145.1,50.5,,,,,20000000000,0.073
2005-05-14 13:02:53,,,,,,,,129000000000,0.38
2005-05-07 09:31:44,-75.8,163.7,15.2,16.6,9.6,-9.7,9.4,26000000000,0.092
2005-05-02 20:10:36,17.7,36,,,,,,46000000000,0.15
2005-04-22 11:18:05,20.9,-36.7,37,,,,,22000000000,0.079
2005-04-19 07:37:47,-50.2,-146.4,38.5,16.8,9.3,13.8,2.5,232000000000,0.64
2005-04-16 10:40:38,,,,,,,,20000000000,0.073
2005-04-15 06:54:59,-43.8,-73.9,39,,,,,21000000000,0.076
2005-04-14 14:05:22,4.9,-176,26.5,,,,,71000000000,0.22
2005-04-11 05:20:29,-34.2,-95.7,37,,,,,106000000000,0.32
2005-04-06 01:30:24,-42.7,154.6,70,,,,,29000000000,0.1
2005-04-05 17:48:07,,,,,,,,35000000000,0.12
2005-04-03 01:45:29,-1,112.4,59.2,,,,,219000000000,0.61
2005-04-02 22:52:25,14.1,169.7,27.2,,,,,204000000000,0.57
2005-03-31 22:15:55,42.8,-36.2,,,,,,38000000000,0.13
2005-03-18 16:48:32,-9.7,-34.7,33,,,,,27000000000,0.095
2005-03-12 22:16:31,,,,,,,,22000000000,0.079
2005-03-09 15:47:36,-21.4,-157.9,44.4,,,,,53000000000,0.17
2005-03-09 12:49:08,14.3,142.7,30.7,,,,,40000000000,0.13
2005-03-06 17:32:51,,,,,,,,55000000000,0.18
2005-02-17 22:52:36,48,-161.5,42.5,,,,,100000000000,0.3
2005-01-19 01:43:14,-27.5,-164.9,40.7,,,,,141000000000,0.41
2005-01-02 23:09:51,-21.3,154.7,35.2,21.5,20.2,-3.3,6.6,119000000000,0.35
2005-01-01 03:44:09,32.7,12.4,31.8,,,,,454000000000,1.2
2004-12-29 07:11:45,-8.5,171.8,,,,,,90000000000,0.28
2004-12-13 11:35:55,-9.7,155.3,,,,,,39000000000,0.13
2004-12-11 15:36:51,36,104.1,,,,,,30000000000,0.1
2004-11-30 08:32:53,61,-171,,,,,,181000000000,0.51
2004-11-17 03:13:04,,,,,,,,186000000000,0.52
2004-10-14 11:41:01,,,,,,,,93000000000,0.28
2004-10-10 11:05:28,,,,,,,,30000000000,0.1
2004-10-07 13:14:43,-27.3,71.5,35,19.2,-15.3,1,11.6,10400000000000,18
2004-10-04 04:39:52,3.7,-150.9,,,,,,71000000000,0.22
2004-09-28 08:57:28,0.2,-101.1,,,,,,62000000000,0.2
2004-09-03 12:07:22,-67.7,18.2,31.5,,,,,7260000000000,13
2004-08-22 10:01:33,-51.9,22.7,37,,,,,1440000000000,3.2
2004-07-29 12:41:45,,,,,,,,25000000000,0.089
2004-07-25 05:29:13,,,,,,,,197000000000,0.55
2004-07-22 03:34:31,,,,,,,,35000000000,0.12
2004-07-16 00:11:01,,,,,,,,29000000000,0.1
2004-07-04 16:58:04,,,,,,,,79000000000,0.25
2004-07-03 20:47:22,,,,,,,,65000000000,0.21
2004-06-12 07:13:56,21.7,175.3,,,,,,104000000000,0.31
2004-06-11 15:41:40,,,,,,,,104000000000,0.31
2004-06-05 20:34:10,1.3,-174.4,43,19.5,9.4,17,-1.5,1810000000000,3.9
2004-06-04 13:41:38,,,,,,,,339000000000,0.89
2004-06-03 21:59:15,,,,,,,,47000000000,0.16
2004-06-03 09:40:12,48.9,-120.4,,,,,,54000000000,0.18
2004-05-18 11:12:12,-28.1,-47.4,,,,,,394000000000,1
2004-05-17 02:08:27,-18.9,28.3,44,,,,,55000000000,0.18
2004-05-06 02:22:49,,,,,,,,49000000000,0.16
2004-04-23 00:33:41,,,,,,,,56000000000,0.18
2004-04-22 21:19:55,-15.2,55.1,,,,,,139000000000,0.41
2004-04-22 04:21:49,-44.3,83.3,29.6,16.3,8.5,-12.1,-6.8,624000000000,1.5
2004-04-06 03:24:49,-12,162.8,35,25.6,10.5,-23.2,-2.9,433000000000,1.1
2004-03-26 16:35:45,-7.6,155.1,46,,,,,24000000000,0.086
2004-03-25 09:39:26,-4.8,21,,,,,,21000000000,0.076
2004-02-27 01:18:54,,,,,,,,60000000000,0.19
2004-02-02 18:52:20,-18.3,52.3,,,,,,30000000000,0.1
2004-01-22 01:06:43,-50.6,157.8,37,,,,,232000000000,0.64
2004-01-17 20:11:02,,,,,,,,28000000000,0.098
2004-01-16 11:17:06,,,,,,,,98000000000,0.3
2004-01-02 04:27:59,-28.2,3.2,63,,,,,134000000000,0.39
2003-12-09 22:36:23,-67.1,-90.8,,,,,,643000000000,1.6
2003-11-26 02:00:04,-22.9,22.7,32,,,,,35000000000,0.12
2003-11-10 13:54:06,-64.5,136.2,23,20.1,14.8,-8.7,10.4,518000000000,1.3
2003-11-01 14:09:30,-51.4,151.7,,,,,,73000000000,0.23
2003-10-16 00:47:28,,,,,,,,285000000000,0.77
2003-10-13 14:06:59,,,,,,,,30000000000,0.1
2003-10-07 00:23:56,,,,,,,,37000000000,0.13
2003-09-27 12:59:02,21,86.6,26,18.2,-1,-5.4,-17.3,2150000000000,4.6
2003-09-22 03:45:43,,,,,,,,33000000000,0.11
2003-09-21 07:40:00,,,,,,,,20000000000,0.073
2003-09-20 19:04:01,,,,,,,,30000000000,0.1
2003-09-02 20:00:46,51.3,-161,,,,,,385000000000,1
2003-08-26 22:08:45,,,,,,,,72000000000,0.23
2003-08-26 08:44:07,,,,,,,,249000000000,0.68
2003-08-17 13:16:07,-39,34,,,,,,647000000000,1.6
2003-08-01 04:09:32,,,,,,,,21000000000,0.076
2003-07-21 05:11:28,,,,,,,,58000000000,0.19
2003-06-22 22:53:28,,,,,,,,21000000000,0.076
2003-06-21 14:49:57,,,,,,,,38000000000,0.13
2003-06-16 17:17:19,,,,,,,,65000000000,0.21
2003-06-10 14:11:07,-41.8,122.9,,,,,,32000000000,0.11
2003-05-27 23:32:32,5.2,166.2,,,,,,68000000000,0.22
2003-05-19 03:38:12,,,,,,,,521000000000,1.3
2003-05-18 07:51:40,,,,,,,,21000000000,0.076
2003-05-15 06:28:32,54,-80.4,,,,,,43000000000,0.14
2003-04-28 13:06:46,,,,,,,,23000000000,0.082
2003-04-13 17:58:41,14.8,64.5,17,,,,,175000000000,0.5
2003-04-07 09:25:28,-18.4,162.6,,,,,,22000000000,0.079
2003-04-01 04:40:55,,,,,,,,31000000000,0.11
2003-03-27 05:50:26,41.4,-87.7,45,,,,,142000000000,0.41
2003-02-25 23:13:28,40,116,,,,,,33000000000,0.11
2003-02-12 23:45:57,,,,,,,,79000000000,0.25
2003-02-12 02:37:54,-31.5,107.5,,,,,,120000000000,0.36
2003-02-06 17:00:19,-62.9,-113.9,,,,,,197000000000,0.55
2003-02-05 06:16:27,,,,,,,,103000000000,0.31
2003-02-04 14:07:08,-59.9,41,,,,,,135000000000,0.4
2003-01-30 06:02:59,,,,,,,,107000000000,0.32
2002-11-28 15:41:53,,,,,,,,46000000000,0.15
2002-11-21 00:11:17,-1.4,-154,,,,,,240000000000,0.66
2002-11-12 21:49:56,-21.1,-6.8,,,,,,43000000000,0.14
2002-11-10 22:13:54,16,-166,,,,,,460000000000,1.2
2002-10-09 12:00:35,-4.3,-175.9,,,,,,49000000000,0.16
2002-10-04 10:08:01,,,,,,,,117000000000,0.35
2002-09-24 16:48:57,57.9,112.9,,,,,,860000000000,2
2002-08-14 07:48:32,-6.9,-126.2,,,,,,90000000000,0.28
2002-08-11 20:42:53,-18.2,159.4,,,,,,1510000000000,3.3
2002-08-10 18:01:51,,,,,,,,25000000000,0.089
2002-07-25 15:57:32,-28.7,47,,,,,,230000000000,0.63
2002-07-22 11:16:02,34,106.1,,,,,,53000000000,0.17
2002-06-29 16:31:55,,,,,,,,159000000000,0.46
2002-06-15 11:51:18,,,,,,,,29000000000,0.1
2002-06-13 15:29:38,-24.9,111.4,,,,,,191000000000,0.54
2002-06-02 04:28:20,34,21,,,,,,4500000000000,8.8
2002-04-03 19:10:21,-5.3,27.1,,,,,,182000000000,0.51
2002-04-02 02:36:28,,,,,,,,32000000000,0.11
2002-03-28 21:29:56,,,,,,,,27000000000,0.095
2002-03-19 05:56:10,,,,,,,,83000000000,0.26
2002-03-19 02:56:52,,,,,,,,53000000000,0.17
2002-03-18 14:44:57,-60.4,-120.5,,,,,,20000000000,0.073
2002-03-09 01:20:24,6.9,-147.3,,,,,,249000000000,0.68
2002-03-03 21:10:55,37.5,154,,,,,,82000000000,0.25
2002-03-01 03:53:59,29.2,-66.8,,,,,,38000000000,0.13
2002-02-09 19:50:26,-17.7,138.7,,,,,,70000000000,0.22
2002-02-01 19:07:54,60.7,116.6,,,,,,70000000000,0.22
2002-01-20 16:42:04,48.4,-165,,,,,,104000000000,0.31
2002-01-03 12:19:37,,,,,,,,123000000000,0.36
2001-12-14 17:58:04,,,,,,,,151000000000,0.44
2001-12-12 16:56:13,,,,,,,,98000000000,0.3
2001-11-26 06:51:52,,,,,,,,192000000000,0.54
2001-11-13 10:58:48,,,,,,,,312000000000,0.83
2001-11-11 12:14:02,,,,,,,,130000000000,0.38
2001-10-27 19:20:12,52.7,3.8,,,,,,36000000000,0.12
2001-10-14 12:03:11,,,,,,,,89000000000,0.27
2001-10-12 03:11:53,,,,,,,,62000000000,0.2
2001-10-06 06:29:38,,,,,,,,158000000000,0.45
2001-09-25 11:54:06,,,,,,,,42000000000,0.14
2001-08-26 16:08:52,,,,,,,,38000000000,0.13
2001-08-18 13:57:43,,,,,,,,40000000000,0.13
2001-07-26 21:20:19,0.4,84.8,,,,,,326000000000,0.86
2001-07-23 22:19:11,41,-77,,,,,,1240000000000,2.8
2001-05-06 04:30:29,,,,,,,,50000000000,0.16
2001-04-27 09:46:18,,,,,,,,130000000000,0.38
2001-04-23 06:12:35,28,-133.6,29,,,,,4600000000000,9
2001-04-14 06:40:36,,,,,,,,24000000000,0.086
2001-04-13 00:29:57,-15.3,162.4,,,,,,251000000000,0.68
2001-02-09 21:27:55,,,,,,,,108000000000,0.32
2001-02-04 05:53:38,-64,97.3,,,,,,151000000000,0.44
2001-01-28 16:19:18,66,31.3,,,,,,108000000000,0.32
2000-12-15 13:22:59,41.3,95.2,,,,,,262000000000,0.71
2000-12-15 03:46:27,50.4,58.9,,,,,,27000000000,0.095
2000-11-28 12:20:13,,,,,,,,119000000000,0.35
2000-11-13 00:28:01,-13.6,-5.8,,,,,,66000000000,0.21
2000-11-06 07:18:57,-52,-22.2,,,,,,69000000000,0.22
2000-10-11 23:29:55,-31.7,-5.5,,,,,,81000000000,0.25
2000-09-24 06:57:19,,,,,,,,27000000000,0.095
2000-09-23 04:00:45,-58.5,142.6,,,,,,22000000000,0.079
2000-09-19 22:12:38,-3.2,-133.8,,,,,,89000000000,0.27
2000-08-25 01:12:25,14.5,-106.1,,,,,,1385000000000,3.1
2000-08-13 03:00:32,36.7,-127.8,,,,,,65000000000,0.21
2000-08-01 16:48:27,-50.2,-101.9,,,,,,182000000000,0.51
2000-07-31 07:06:34,15.7,-138.5,,,,,,38000000000,0.13
2000-07-19 17:40:25,-17.7,94.1,,,,,,107000000000,0.32
2000-07-09 01:08:45,,,,,,,,121000000000,0.36
2000-07-07 01:34:20,15,140.7,,,,,,65000000000,0.21
2000-06-27 10:06:51,34.9,36.8,,,,,,27000000000,0.095
2000-06-23 09:03:42,69.2,-44,,,,,,20000000000,0.073
2000-06-22 20:02:11,32.9,159,,,,,,30000000000,0.1
2000-06-18 13:40:02,,,,,,,,133000000000,0.39
2000-06-14 16:39:18,28.1,107.3,48,,,,,145000000000,0.42
2000-06-04 03:17:39,,,,,,,,190000000000,0.53
2000-06-03 03:24:49,36.8,-74.8,,,,,,30000000000,0.1
2000-06-02 18:44:16,-27.5,-18.9,,,,,,30000000000,0.1
2000-05-29 16:46:28,,,,,,,,60000000000,0.19
2000-05-06 11:51:52,49.9,18.4,,,,,,28000000000,0.098
2000-05-03 10:40:09,-5,73,,,,,,59000000000,0.19
2000-04-21 13:42:20,,,,,,,,86000000000,0.27
2000-04-04 13:38:15,,,,,,,,23000000000,0.082
2000-03-28 15:27:17,1,98.3,,,,,,63000000000,0.2
2000-03-19 05:11:50,,,,,,,,49000000000,0.16
2000-03-06 08:29:18,58,175,,,,,,960000000000,2.2
2000-02-18 09:25:59,-0.9,109.2,,,,,,3620000000000,7.3
2000-02-17 14:22:07,14.2,115.9,,,,,,22000000000,0.079
2000-01-18 16:43:42,60.3,-134.6,,,,,,1050000000000,2.4
2000-01-18 08:33:58,24.3,-94.9,,,,,,35000000000,0.12
1999-12-16 00:07:22,-26.5,-11.3,,,,,,67000000000,0.21
1999-12-11 17:31:52,,,,,,,,273000000000,0.74
1999-12-10 18:56:50,,,,,,,,28000000000,0.098
1999-12-03 17:24:45,,,,,,,,42000000000,0.14
1999-12-01 19:38:15,,,,,,,,23000000000,0.082
1999-11-30 02:18:53,,,,,,,,45000000000,0.15
1999-11-15 20:01:28,-8.1,75.4,,,,,,74000000000,0.23
1999-11-07 17:53:06,-2.3,-77.4,,,,,,89000000000,0.27
1999-10-26 17:19:42,13.7,-70.8,,,,,,86000000000,0.27
1999-09-08 23:55:35,22.4,0.2,,,,,,28000000000,0.098
1999-09-08 14:41:53,32.5,104.6,32,,,,,90000000000,0.28
1999-08-16 05:18:20,35,-107.2,,,,,,36000000000,0.12
1999-08-06 03:22:37,,,,,,,,68000000000,0.22
1999-08-03 18:25:49,-64.7,-18.8,,,,,,356000000000,0.93
1999-07-10 08:11:42,-37.8,39.6,52,,,,,326000000000,0.86
